Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P291 La Curva - PVH,202605,RECEPCIÓN,4304824,7976887,1.8533064516129039,2611246.2307003923,7728624,2.9597453283932618,3.5,2.5,373789.4342282751
P010 Caminos del Inca - PVS,202605,RECEPCIÓN,4230839,12660922,2.9880779569892457,2918086.6275077625,12169665,4.170426157462534,5.0,3.0,414909.41931421024
SO03 Huanuco - PVO,202605,RECEPCIÓN,4212007,8978962,2.038279569892474,2367239.6392369266,8348865,3.526835726902256,3.0,2.0,315289.33983962843
P119 Puente Piedra - PVH,202605,INVENTARIOS,4005210,9545212,2.383198924731182,4889518.981474553,8448432,1.7278656974253472,2.0,3.0,354862.9496362305
P229 Salaverry - PVH,202605,INVENTARIOS,3964586,7152664,1.8039583333333336,4330529.562193179,7482573,1.7278656974253472,2.0,2.0,392144.8666127728
P147 Juliaca - PVH,202605,RECEPCIÓN,3859469,11745247,2.7109005376344064,3697726.7230814877,9933328,2.6863335922839906,3.0,5.0,313237.3719402453
P203 Rimac Alcazar - PVH,202605,RECEPCIÓN,3849530,5529509,1.4364112903225807,2372659.368286669,5180877,2.1835739997693753,2.5,1.5,430902.0015158749
P081 La Molina - PVH,202605,RECEPCIÓN,3846363,9511349,2.472815860215053,3618055.6490212576,9053300,2.50225569447752,3.0,3.0,349340.7430365127
P122 Ica - PVH,202605,RECEPCIÓN,3813715,6079261,1.5940524193548393,3342050.596149821,5985242,1.7908890615226603,2.5,2.0,300918.7553531902
P202 LurIn - PVH,202605,INVENTARIOS,3793611,5409210,1.4258736559139782,1933940.9431604324,5012385,2.591798546138021,3.0,3.0,349662.81755196315
P068 Primavera - PVH,202605,RECEPCIÓN,3761814,5842657,1.2462163978494627,25.97039665356374,49,1.8813728820462694,2.5,1.5,368707.3776215104
P089 Risso - PVH,202605,INVENTARIOS,3696080,3502011,0.9474932795698924,4363476.019592798,3811189,0.8734295999077502,1.0,1.0,375279.7066396193
P109 Dasso - PVS,202605,INVENTARIOS,3695803,3084928,0.8323790322580646,2442528.38373782,4153469,1.7004791280435052,2.0,1.0,388026.3527588044
P291 La Curva - PVH,202605,INVENTARIOS,3683267,7019016,1.9059946236559144,2484295.1044344115,6302469,2.5369245671942244,3.0,3.0,316437.93351480184
SO04 Jaen - PVO,202605,INVENTARIOS,3679792,6993843,1.8964919354838712,3373434.025703838,5948774,1.763417863451128,2.0,2.0,236309.59964280395
P224 Brena - PVH,202605,RECEPCIÓN,3678222,6918616,1.8809677419354829,2553486.06949468,6618121,2.591798546138021,3.0,3.0,334254.49356885615
P333 Ves Placita - PVH,202605,RECEPCIÓN,3677925,7311160,1.9878494623655913,3926712.8139125174,6784832,1.7278656974253472,2.0,2.0,311976.999134527
P119 Puente Piedra - PVH,202605,RECEPCIÓN,3676887,10882176,2.9596169354838704,4007620.275108706,10386944,2.591798546138021,3.0,3.0,325281.1498872591
P180 Centro Trujillo - PVE,202605,CAJAS,3627219,698240,0.19250000000000006,,701198,,,,492412.98701298656
P122 Ica - PVH,202605,INVENTARIOS,3622308,5040899,1.3916263440860217,2718979.9058574387,4869391,1.7908890615226603,2.0,1.5,272730.53690951056
P145 Piura - PVH,202605,INVENTARIOS,3597343,8932966,2.483212365591399,3161616.3718441594,8493156,2.6863335922839906,3.0,3.0,276619.88540251466
P115 Huancayo - PVH,202605,RECEPCIÓN,3594502,10498589,2.92113575268817,3570685.0203010673,9592051,2.6863335922839906,3.0,3.0,311199.84039202606
P724 Tumbes - PVH,202605,RECEPCIÓN,3590719,7158375,1.807956989247311,4236970.338146442,7471549,1.763417863451128,2.0,2.0,272761.4057927918
P037 Jockey Plaza - PVH,202605,RECEPCIÓN,3529696,5340827,1.50956317204301,2516357.884373494,5319842,2.114103805995187,3.0,2.0,310315.5592793258
P258 Chaclacayo - PVS,202605,INVENTARIOS,3502614,893567,0.255114247311828,1038898.8179475022,907211,0.8732429847136887,1.0,1.0,432457.2271541844
P223 Cusco Mall - PVH,202605,INVENTARIOS,3501716,9196345,2.6269287634408607,2927248.871058561,7863567,2.6863335922839906,3.0,3.0,227711.16153773337
P139 Alameda Sur - PVS,202605,INVENTARIOS,3414030,4900740,1.435470430107527,3171036.431781624,5154725,1.6255646270843556,2.0,2.0,346174.3199842695
SO03 Huanuco - PVO,202605,INVENTARIOS,3409993,8016538,2.2354368279569905,2564043.8370921095,6782221,2.645126795176692,3.0,2.5,252371.70334873555
P231 Ventanilla - PVH,202605,RECEPCIÓN,3407613,7830758,2.2981922043010763,3305582.9323486933,7139504,2.159832121781684,2.5,2.5,327671.431741288
P133 Guardia Civil - PVH,202605,RECEPCIÓN,3316215,7656858,2.3091061827956993,2521902.4707146063,6536263,2.591798546138021,3.0,2.5,285338.6625998632
V095 Monterrico - VIV,202605,INVENTARIOS,3311200,3036869,0.9171505376344087,3630365.3122168607,3080038,0.848409943962139,1.0,1.0,351946.5853801512
P159 Acho - PVH,202605,RECEPCIÓN,3275404,2087234,0.6372446236559142,2355152.706545854,2057060,0.8734295999077502,1.0,1.0,296200.1764991245
V116 Javier Prado - VIV,202605,RECEPCIÓN,3269723,2977140,0.9105174731182797,,3412716,,2.0,1.0,321187.7626010259
P133 Guardia Civil - PVH,202605,INVENTARIOS,3260313,6193565,1.8998790322580645,2048274.6872477387,5308715,2.591798546138021,3.0,2.0,266225.8972345438
P061 Cortijo - PVH,202605,RECEPCIÓN,3241080,8337316,2.5687836021505364,3376120.5807801974,8447917,2.50225569447752,3.0,3.0,303898.01591167756
