Tienda,Periodo,Área,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,CAPO,CAPE,ProdUnid
P192 Sullana - PVH,202503,RECEPCIÓN,5243839,3996313,0.7620967741935485,2068814.7303600996,3739257,1.9316919738406921,2.0,1.0,962388.6582857142
1199 San Miguel - PVH,202506,RECEPCIÓN,5237986,5339873,1.0175277777777778,5895024.140994408,5965055,0.9058272082155097,1.0,1.0,624890.6751112445
P108 Ayacucho - PVS,202512,RECEPCIÓN,5235138,3907380,0.745255376344086,2013597.2773180597,4551462,1.9404972652745625,2.0,1.0,682073.6034050534
P115 Huancayo - PVH,202507,INVENTARIOS,5205566,9406051,1.8069220430107527,4058358.2807115377,9888043,2.317698541970737,3.0,2.0,597755.1738758507
P126 Santa Clara - PVH,202508,INVENTARIOS,5185741,9030403,1.741391129032258,3920610.533046202,9094779,2.3033156172703633,3.0,2.0,522348.9742396351
P080 Bolichera - PVH,202512,INVENTARIOS,5171880,6954425,1.3351276881720422,5572411.7699406585,8223630,1.2480098917876736,2.0,3.0,518663.5002290268
P117 Izaguirre - PVH,202512,INVENTARIOS,5156041,8836171,1.7133534946236555,6984703.540405846,10287416,1.2650745359317817,4.0,3.5,524697.3276798709
P118 Alfonso Ugarte - PVH,202511,RECEPCIÓN,5127927,2507948,0.48907638888888894,2582658.457325902,3048531,0.9710722503341543,1.0,1.0,532595.53296321
P126 Santa Clara - PVH,202511,INVENTARIOS,5126717,9645836,1.880423611111111,3367170.1539327814,7665252,2.8646712755914265,3.0,2.5,479365.97619478474
P132 El Ejercito - PVS,202512,INVENTARIOS,5126564,3652467,0.7107728494623656,4890221.123130353,4007624,0.7468918946679377,2.0,2.0,768415.6765598555
P134 Centro Civico - PVH,202508,RECEPCIÓN,5103937,5118789,1.0029099462365594,2606774.7831612397,5489758,1.9636484567310553,2.0,1.0,610637.7868701961
P465 Sucre - PVH,202507,RECEPCIÓN,5070592,8694792,1.711706989247312,5031940.271354763,10044018,1.7279203092883846,2.5,2.0,553573.301945018
P089 Risso - PVH,202512,INVENTARIOS,5069017,4501205,0.8879838709677416,6148198.73738226,5327994,0.7321177148408988,1.0,2.0,636731.1597493418
P156 El Tambo Huancayo - PVS,202512,INVENTARIOS,5067341,2031604,0.40033602150537634,4748684.239074712,2010670,0.427824584183315,1.0,1.0,616694.4435118348
P236 Pisco - PVH,202512,INVENTARIOS,5049655,6737086,1.3331518817204298,5565224.265458347,6126670,1.2105686776748679,2.0,3.0,573350.2764993221
P229 Salaverry - PVH,202509,RECEPCIÓN,5036389,8158286,1.619868055555556,2660047.714636549,8792977,3.0669698160338057,4.0,2.0,695502.9307085194
P225 Cajamarca - PVH,202505,RECEPCIÓN,5028652,6901537,1.1986559139784947,1900821.3766093717,5814137,3.630818116277056,3.5,1.5,571268.7536218883
P223 Cusco Mall - PVH,202507,INVENTARIOS,5025077,8686562,1.7286424731182795,3521518.5614255276,10209106,2.466709167786876,3.0,2.0,487365.3940020683
P125 SJ Lurigancho - PVH,202503,RECEPCIÓN,5011944,7417542,1.4799731182795701,3998307.398048572,7764161,1.8551705863386676,2.0,2.0,428331.2704604485
P059 Callao - PVH,202512,INVENTARIOS,5011519,4439077,0.8854435483870964,5263857.530506327,4833034,0.8433124575035771,2.0,2.0,503137.66564961994
P117 Izaguirre - PVH,202502,RECEPCIÓN,5002827,5980202,1.1953645833333333,4129236.764894167,6805566,1.448258552486581,2.0,2.0,513142.29027057654
P139 Alameda Sur - PVS,202510,INVENTARIOS,4983135,4275382,0.8579704301075268,3663796.6645897576,4594634,1.166926776073891,2.0,2.0,631062.5413187536
P115 Huancayo - PVH,202512,RECEPCIÓN,4962857,14982928,3.0118817204301074,3822657.3406707356,15172611,3.919505834486083,3.0,3.0,558885.60914657
V094 Benavides - VIV,202512,INVENTARIOS,4956873,2136685,0.43105510752688175,5037029.13129771,2129953,0.4241955554165154,1.0,1.0,610815.1728223757
SO04 Jaen - PVO,202503,INVENTARIOS,4921972,7112228,1.4446908602150539,4121519.029701886,7174679,1.725632612331875,2.0,2.0,486094.30525189557
P201 Huaral - PVH,202512,RECEPCIÓN,4919451,5290162,1.075356182795699,4938096.991553434,5300068,1.0712957459217123,2.0,1.0,597884.9057514076
P139 Alameda Sur - PVS,202508,INVENTARIOS,4904664,4454246,0.908165322580645,2541772.33005988,4586479,1.7524174243784716,2.0,2.0,635428.3583083585
P226 Paita - PVH,202503,RECEPCIÓN,4902767,6251862,1.1829905913978496,2781191.8536372455,5529759,2.2479074760066653,3.0,2.0,603508.0796005203
1199 San Miguel - PVH,202509,RECEPCIÓN,4880349,4994361,1.0224861111111112,5609916.32142857,5521506,0.890273751664121,1.0,1.0,584967.0557872287
P115 Huancayo - PVH,202505,INVENTARIOS,4871902,8803147,1.8069220430107529,3138482.871946362,8769686,2.8049051370290385,3.0,2.0,573077.8502622085
P081 La Molina - PVH,202502,RECEPCIÓN,4865669,8081573,1.6609375,4404894.486675768,9081638,1.8346801823393737,3.0,2.0,581610.7589840076
P117 Izaguirre - PVH,202506,RECEPCIÓN,4861515,5567827,1.0886458333333333,3362198.1859715907,6334515,1.6560078532048335,2.0,1.0,543103.62644723
P231 Ventanilla - PVH,202512,INVENTARIOS,4849689,9025904,1.8615860215053759,7117155.06970734,8989205,1.2681898415304793,2.0,3.0,686425.9750761724
P126 Santa Clara - PVH,202504,INVENTARIOS,4846912,8825856,1.8209236111111113,2992879.884485006,9914574,2.9489511008286557,3.0,2.0,467453.9858817068
P134 Centro Civico - PVH,202506,RECEPCIÓN,4846112,4864150,1.0037222222222222,3792335.1151079144,5574830,1.2826266884016093,2.0,1.0,584222.7829744839
P126 Santa Clara - PVH,202512,RECEPCIÓN,4836839,14846218,3.0693682795698924,4874515.921373299,13004058,3.045680389493398,3.0,3.0,474081.64399350155
P333 Ves Placita - PVH,202512,RECEPCIÓN,4815109,9826388,2.035268817204301,4775349.099304589,9481770,2.0577319114598285,2.0,2.0,612740.3119716822
P080 Bolichera - PVH,202506,RECEPCIÓN,4802280,5319258,1.107652777777778,2187445.4403125746,6090152,2.431721583528915,2.5,1.0,550392.0743313562
P126 Santa Clara - PVH,202511,RECEPCIÓN,4782574,10561938,2.2072847222222225,4245519.929386748,8535997,2.487784454123536,3.0,3.0,456312.6903655509
P139 Alameda Sur - PVS,202504,INVENTARIOS,4772016,4450866,0.932701388888889,4043164.365148105,4538343,1.100837259639075,2.0,1.0,617300.4638557356
P333 Ves Placita - PVH,202503,RECEPCIÓN,4769764,7573634,1.587842741935484,7113724.586213514,7200893,1.064651062634305,2.0,2.0,576599.1308963012
P139 Alameda Sur - PVS,202505,INVENTARIOS,4762874,4516376,0.9482459677419355,2378963.838301559,4673932,1.8984633844726402,2.0,1.0,632957.0811983076
P724 Tumbes - PVH,202512,RECEPCIÓN,4729088,9680813,1.783212365591398,4626234.169518816,8386515,2.092590300288867,2.0,2.0,482843.70757739065
P139 Alameda Sur - PVS,202509,INVENTARIOS,4706382,4172534,0.8865694444444444,2515677.091539528,4511760,1.6586128776354674,2.0,2.0,613857.158523021
P061 Cortijo - PVH,202508,RECEPCIÓN,4701554,7830664,1.6617943548387097,4255040.080578817,8387807,1.840326716484134,3.0,2.5,549734.42251744
P146 Tacna - PVH,202512,RECEPCIÓN,4700801,15004870,2.751780913978495,3000161.388713929,13121848,5.0013543692834785,4.0,3.0,519759.97534343594
P107 Mercaderes - PVS,202512,INVENTARIOS,4695598,1873632,0.39901881720430105,5066998.981160325,2462622,0.3697715170195169,1.0,1.0,681190.9320578031
P465 Sucre - PVH,202512,INVENTARIOS,4671699,8272822,1.7675470430107518,5333267.95187536,9920317,1.5511731708681527,3.0,3.5,461548.6774317426
